Document Title,Policy subpart,Source,Payer,Plan Bucket,PBM,Plan Types,States,Number of States,Plan Types and States,Document Type,Categories,Link to Policy/Formulary PDF,Link to Revision History,Policy Identifier,Link to PDF Formulary (Broken),Policy Last Updated,Status,Review date,Next review date (payer defined),Next review date (est.), Medical Covered Lives,Plan Type(s),CGMs Covered,Device Type Covered (from CGMs Covered),CGMs Preferred,Device Type Preferred (from CGMs Preferred),AIDs Covered,AIDs Preferred,CGM Coverage/Distribution Path,Diabetes Diagnosis,Multiple insulin injections daily or insulin pump use,Inadequate glycemic control,Episodes of hyperglycemia,Episodes of hypoglycemia,Hypoglycemia unawareness,Demonstrated understanding of and willingness to use technology,Age criteria,Self monitoring of glucose levels,Reference to clinical treatment guidelines,Compatability override,Replacement criteria,Renewal criteria,Policy includes coding recommendations,Summary of criteria,Review Complete,Sensor quantity limit,Review Comments,CHIR Review Fields Last Modified,AIDs Excluded,CGMs Excluded,Device Type Excluded,UM Prior Auth.,UM Step Therapy,UM QL,PA approval length,Clinical guideline or PA vendor referenced,Policy document is used by other focus payers (check all),Policy document is used by other commercial payers (list all),Policy document is used by at least one Medicaid MCO,uuid_formula,airtable_uuid
Texas Telemedicine and Telehealth Services Reimbursement Policy (TX Commercial),,Policy Database,Aetna,,,Commercial,TX,1,Commercial: [TX],Reimbursement & Billing Document,"[""Payment Policies->Point of Service Billing->Telehealth and Remote Healthcare Services""]",https://portal.policyreporter.com/geturlupdate.php?urlid=318970&updateid=3654067,https://portal.policyreporter.com/policy-updates/318970,318970,,6/28/2023,Active,6/28/2023,,6/28/2024,476796,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:12pm,,,,,,,,,,,,CHIR_IDrecTUgTVhmCZoPa2D-318970-TXTexas Telemedic,recTUgTVhmCZoPa2D
Tier Exception (Cost-Share Reduction) Request (Commercial),,Policy Database,Aetna,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",55,"Commercial: [DE,FL,GA,IL,IN,KS,MD,NC,NV,OH,TX,UT,VA,AL,AR,AZ,CA,IA,ID,KY,LA,MI,MN,MS,MT,NE,NH,NJ,PA,SC,TN,VT,WI,WV,WY,AK,CO,CT,DC,MA,ME,MO,NY,OK,OR,SD,WA,GU,MP,ND,VI,FN,HI,NM,RI]",Prior Authorization (PA) Form,"[""Administrative Documents->Pharmacy Coverage Admin->Formulary Exception Coverage""]",https://portal.policyreporter.com/geturlupdate.php?urlid=318836&updateid=4074871,https://portal.policyreporter.com/policy-updates/318836,318836,,1/20/2024,Active,12/1/2023,,12/1/2024,6098556,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:12pm,,,,,,,,,,,,CHIR_IDrecngJpsDnRrpxrPM-318836-AKTier Exception ,recngJpsDnRrpxrPM
Transition of Care (IL),,Policy Database,Aetna,,,"Commercial,Medicare Advantage",IL,1,"Commercial: [IL],Medicare Advantage: [IL]",Prior Authorization (PA) Form,"[""Payment Policies->Billing Policies->PA Appeals Claims""]",https://portal.policyreporter.com/geturlupdate.php?urlid=250956&updateid=2479312,https://portal.policyreporter.com/policy-updates/250956,250956,,3/29/2021,Active,3/16/2021,,3/1/2022,151312,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:12pm,,,,,,,,,,,,CHIR_IDrecuoJuYicNtuaTTB-250956-ILTransition of C,recuoJuYicNtuaTTB
Transplant Facilities (Commercial),,Policy Database,Aetna,,,Commercial,"AK,AL,AR,CO,CT,DC,DE,FL,FN,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",53,"Commercial: [DE,FL,GA,IL,IN,KS,MD,NC,NV,OH,TX,UT,VA,AL,AR,IA,ID,KY,LA,MI,MN,MS,MT,NE,NH,NJ,PA,SC,TN,VT,WI,WV,WY,AK,CO,CT,DC,MA,ME,MO,NY,OK,OR,SD,WA,GU,MP,ND,VI,FN,HI,NM,RI]",Service Administrative Document,"[""Payment Policies->Point of Service Billing->Non-Hospital Health Facilities""]",https://portal.policyreporter.com/geturlupdate.php?urlid=289098&updateid=4306109,https://portal.policyreporter.com/policy-updates/289098,289098,,5/24/2024,Active,5/24/2024,,5/24/2025,5888959,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:12pm,,,,,,,,,,,,CHIR_IDrecOSEj5co2N72HjR-289098-AKTransplant Faci,recOSEj5co2N72HjR
Vaccines for Travel (Commercial),,Policy Database,Aetna,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",55,"Commercial: [DE,FL,GA,IL,IN,KS,MD,NC,NV,OH,TX,UT,VA,AL,AR,AZ,CA,IA,ID,KY,LA,MI,MN,MS,MT,NE,NH,NJ,PA,SC,TN,VT,WI,WV,WY,AK,CO,CT,DC,MA,ME,MO,NY,OK,OR,SD,WA,GU,MP,ND,VI,FN,HI,NM,RI]",Medical Policy,"[""Preventive Services->Vaccination""]",https://portal.policyreporter.com/geturlupdate.php?urlid=136114&updateid=4607109,https://portal.policyreporter.com/policy-updates/136114,136114,,11/9/2024,Active,11/5/2024,5/8/2025,,6098556,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:13pm,,,,,,,,,,,,CHIR_IDrecpi0mFpjsYYURp1-136114-AKVaccines for Tr,recpi0mFpjsYYURp1
Washington Utilization Management and Exception Process (WA Commercial),,Policy Database,Aetna,,,Commercial,WA,1,Commercial: [WA],Reimbursement & Billing Document,"[""Administrative Documents->Service Coverage Admin->Covered Services->Medical Necessity Determination""]",https://portal.policyreporter.com/geturlupdate.php?urlid=318980&updateid=3654140,https://portal.policyreporter.com/policy-updates/318980,318980,,6/28/2023,Active,2/1/2023,,2/1/2024,600856,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:13pm,,,,,,,,,,,,CHIR_IDrecd7bZLAnviC5Xgp-318980-WAWashington Util,recd7bZLAnviC5Xgp
Afrezza (Commercial),,Policy Database,Cigna,,,"Commercial,Medicare Advantage","AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",54,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID],Medicare Advantage: [AL,AR,AZ,CO,CT,DE,FL,GA,IL,KS,KY,MD,MO,MS,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,TN,TX,UT,VA,WA]",Pharmaceutical Policy,"[""Pharmaceuticals->Diabetes Agents->Insulins and Insulin Analogues->Afrezza""]",https://portal.policyreporter.com/geturlupdate.php?urlid=307140&updateid=3433752,https://portal.policyreporter.com/policy-updates/307140,307140,,2/2/2023,Active,2/1/2023,2/1/2024,,1631919,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:15pm,,,,,,,,,,,,CHIR_IDrecFLNHQ7r4618PAl-307140-AKAfrezza (Commer,recFLNHQ7r4618PAl
Appeals and Disputes Policy and Procedures,,Policy Database,Cigna,,,"Commercial,Medicare-Medicaid Dual-Eligibles,Medicare Advantage,Medicare Part D","AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,VI",54,"Commercial: [AZ,CO,FL,MO,NC,TN,AL,AR,CA,CT,DC,DE,GA,HI,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TX,UT,VA,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID],Medicare-Medicaid Dual-Eligibles: [AL,AR,DE,GA,MD,MS,NC,PA,TN,TX],Medicare Advantage: [AL,AR,AZ,CA,DC,DE,GA,IL,KS,MD,MO,MS,NC,PA,SC,TN,TX],Medicare Part D: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->PA Appeals Claims""]",https://portal.policyreporter.com/geturlupdate.php?urlid=70554&updateid=4886008,https://portal.policyreporter.com/policy-updates/70554,70554,,5/7/2025,Active,5/7/2025,,5/7/2026,0,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:15pm,,,,,,,,,,,,CHIR_IDreclvUMYuyAL8RRRP-70554-AKAppeals and Dis,reclvUMYuyAL8RRRP
Authorized Generics,,Policy Database,Cigna,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",54,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID]",Drug Administrative Document,"[""Administrative Documents->Pharmacy Coverage Admin->Off Label Drug Coverage""]",https://portal.policyreporter.com/geturlupdate.php?urlid=224790&updateid=4899527,https://portal.policyreporter.com/policy-updates/224790,224790,,5/15/2025,Active,5/15/2025,,5/15/2026,1631919,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:15pm,,,,,,,,,,,,CHIR_IDrecpkgvels1ssCmhU-224790-AKAuthorized Gene,recpkgvels1ssCmhU
Arizona Medical,,Policy Database,Cigna,,,"Commercial,Medicare Advantage",AZ,1,"Commercial: [AZ],Medicare Advantage: [AZ]",Prior Authorization (PA) Form,"[""Prior Authorization->PA Forms->Medical PA Forms""]",https://portal.policyreporter.com/geturlupdate.php?urlid=316182&updateid=3628484,https://portal.policyreporter.com/policy-updates/316182,316182,,6/9/2023,Active,12/1/2021,,12/1/2022,62761,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:15pm,,,,,,,,,,,,CHIR_IDrectmm7sBBOBJ0IYS-316182-AZArizona Medical,rectmm7sBBOBJ0IYS
Behavioral Health Coaching and Peer Support Services (Commercial),,Policy Database,Cigna,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",54,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID]",Medical Policy,"[""Payment Policies->Point of Service Billing->Behavioral Health Facility and Services Payment->Mental Health Counselor"",""Payment Policies->Point of Service Billing->Behavioral Health Facility and Services Payment->Outpatient and Non-Residential Behavioral Services""]",https://portal.policyreporter.com/geturlupdate.php?urlid=276524&updateid=3539836,https://portal.policyreporter.com/policy-updates/276524,276524,,4/16/2023,Active,4/15/2023,4/15/2024,,1631919,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:15pm,,,,,,,,,,,,CHIR_IDrechZFzKMTYiNlUI0-276524-AKBehavioral Heal,rechZFzKMTYiNlUI0
Behavioral Lack of Information (Commercial),,Policy Database,Cigna,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",54,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID]",Medical Policy,"[""Administrative Documents->Service Coverage Admin->Covered Services->Medical Necessity Determination""]",https://portal.policyreporter.com/geturlupdate.php?urlid=365771&updateid=4866979,https://portal.policyreporter.com/policy-updates/365771,365771,,4/25/2025,Active,3/11/2025,,3/11/2026,1631919,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:15pm,,,,,,,,,,,,CHIR_IDrecnIzmlb4jAPn1MJ-365771-AKBehavioral Lack,recnIzmlb4jAPn1MJ
Cigna Healthcare Appeals & Grievances,,Policy Database,Cigna,,,"Commercial,Medicare-Medicaid Dual-Eligibles,Medicare Advantage,Medicare Part D","AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,VI",54,"Commercial: [AZ,CO,FL,MO,NC,TN,AL,AR,CA,CT,DC,DE,GA,HI,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TX,UT,VA,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID],Medicare-Medicaid Dual-Eligibles: [AL,AR,DE,GA,MD,MS,NC,PA,TN,TX],Medicare Advantage: [AL,AR,AZ,CA,DC,DE,GA,IL,KS,MD,MO,MS,NC,PA,SC,TN,TX],Medicare Part D: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->PA Appeals Claims""]",https://portal.policyreporter.com/geturlupdate.php?urlid=70563&updateid=4498393,https://portal.policyreporter.com/policy-updates/70563,70563,,9/14/2024,Active,9/14/2024,,9/14/2025,0,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:18pm,,,,,,,,,,,,CHIR_IDrec9D2kaD4fVIKGx8-70563-AKCigna Healthcar,rec9D2kaD4fVIKGx8
Cigna Commercial Provider News,,Policy Database,Cigna,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",54,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID]",News & Announcements,"[""Administrative Documents->Provider News""]",https://portal.policyreporter.com/geturlupdate.php?urlid=346261&updateid=4899869,https://portal.policyreporter.com/policy-updates/346261,346261,,5/15/2025,Active,,,,1631919,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:18pm,,,,,,,,,,,,CHIR_IDrecRpFXqc3HNAWkPH-346261-AKCigna Commercia,recRpFXqc3HNAWkPH
"Cigna Healthcare Medicare Advantage Coverage Policy Development and Application (Commercial, Medicare Advantage)",,Policy Database,Cigna,,,"Commercial,Medicare Advantage","AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",53,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VI,VT,WA,WI,WV,WY,AK,IA,ID],Medicare Advantage: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY]",Service Administrative Document,"[""Administrative Documents->Service Coverage Admin""]",https://portal.policyreporter.com/geturlupdate.php?urlid=352056&updateid=4723476,https://portal.policyreporter.com/policy-updates/352056,352056,,1/15/2025,Active,1/8/2025,1/8/2026,,1631919,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:18pm,,,,,,,,,,,,CHIR_IDrecjFVhZo6gopL9xZ-352056-AKCigna Healthcar,recjFVhZo6gopL9xZ
"Claims Submission, Payments, and Filing",,Policy Database,Cigna,,,"Commercial,Managed Medicaid,Medicare-Medicaid Dual-Eligibles,Medicare Advantage","AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,FN",57,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID],Managed Medicaid: [TX],Medicare-Medicaid Dual-Eligibles: [AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IN,KS,KY,LA,MA,MD,MI,MN,MO,MS,NC,NJ,NV,NY,OH,OK,OR,PA,PR,SC,TN,TX,UT,VA,WA,WI],Medicare Advantage: [AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Reimbursement Procedures Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=373387&updateid=4893191,https://portal.policyreporter.com/policy-updates/373387,373387,,5/12/2025,Active,5/12/2025,,5/12/2026,1631919,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:18pm,,,,,,,,,,,,CHIR_IDrechJFcRk8VV24KsY-373387-AKClaims Submissi,rechJFcRk8VV24KsY
Clean Claim Requirements,,Policy Database,Cigna,,,"Commercial,Medicare-Medicaid Dual-Eligibles,Medicare Advantage,Medicare Part D","AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,VI",54,"Commercial: [AZ,CO,FL,MO,NC,TN,AL,AR,CA,CT,DC,DE,GA,HI,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TX,UT,VA,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID],Medicare-Medicaid Dual-Eligibles: [AL,AR,DE,GA,MD,MS,NC,PA,TN,TX],Medicare Advantage: [AL,AR,AZ,CA,DC,DE,GA,IL,KS,MD,MO,MS,NC,PA,SC,TN,TX],Medicare Part D: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies""]",https://portal.policyreporter.com/geturlupdate.php?urlid=64412&updateid=3718881,https://portal.policyreporter.com/policy-updates/64412,64412,,8/4/2023,Active,8/4/2023,,8/4/2024,0,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:18pm,,,,,,,,,,,,CHIR_IDrec8pTC2i38dxiK8L-64412-AKClean Claim Req,rec8pTC2i38dxiK8L
Clinical Information to Establish Medical Necessity (eviCore),,Policy Database,Cigna,,,"Commercial,Medicare-Medicaid Dual-Eligibles,Medicare Advantage","AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,VI",54,"Commercial: [AZ,CO,FL,MO,NC,TN,AL,AR,CA,CT,DC,DE,GA,HI,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TX,UT,VA,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID],Medicare-Medicaid Dual-Eligibles: [AL,AR,DE,GA,MD,MS,NC,PA,TN,TX],Medicare Advantage: [AL,AR,AZ,CA,DC,DE,GA,IL,KS,MD,MO,MS,NC,PA,SC,TN,TX]",Guideline,"[""Administrative Documents->Service Coverage Admin->Covered Services->Medical Necessity Determination""]",https://portal.policyreporter.com/geturlupdate.php?urlid=311583&updateid=4747383,https://portal.policyreporter.com/policy-updates/311583,311583,,1/31/2025,Active,2/1/2025,,2/1/2026,0,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:18pm,,,,,,,,,,,,CHIR_IDrecFRkHVhkKkMDs21-311583-AKClinical Inform,recFRkHVhkKkMDs21
CMS Policy Hierarchies and Application (eviCore),,Policy Database,Cigna,,,"Commercial,Medicare-Medicaid Dual-Eligibles,Medicare Advantage,Medicare Part D","AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",54,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID],Medicare-Medicaid Dual-Eligibles: [AL,AR,DE,GA,MD,MS,NC,PA,TN,TX],Medicare Advantage: [AL,AR,AZ,CA,DC,DE,GA,IL,KS,MD,MO,MS,NC,PA,SC,TN,TX],Medicare Part D: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY]",Guideline,"[""Administrative Documents->Service Coverage Admin->Covered Services->Medical Necessity Determination""]",https://portal.policyreporter.com/geturlupdate.php?urlid=331974&updateid=4824772,https://portal.policyreporter.com/policy-updates/331974,331974,,3/28/2025,Pending,,,4/15/2026,1631919,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:18pm,,,,,,,,,,,,CHIR_IDrecemBcnVGYWaDSZY-331974-AKCMS Policy Hier,recemBcnVGYWaDSZY
Continuity of Care Service Requests (Commercial),,Policy Database,Cigna,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",54,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID]",Medical Policy,"[""Payment Policies->Point of Service Billing->Specialized Care Services->Continuity of Care""]",https://portal.policyreporter.com/geturlupdate.php?urlid=365773&updateid=4753160,https://portal.policyreporter.com/policy-updates/365773,365773,,2/3/2025,Active,11/12/2024,,11/12/2025,1631919,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:18pm,,,,,,,,,,,,CHIR_IDrec1U0bmtmIA0Se9X-365773-AKContinuity of C,rec1U0bmtmIA0Se9X
